id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNjdXRhX253RRABGhZRbFhBaXR5eVBONTc1OWEza2R5MGJn,Me encanto,Hace una semana,2020-03-23 12:27:00.848042,5.0,dari mart,14,0,https://www.google.com/maps/contrib/107934886187388150314?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzbWRTU0Z3EAEaFkNOUWdFTE43SW1YWk5Ibk90anNITUE,Bello lugar turístico para conocer la historia del carnaval y de entrada gratis.,Hace 2 semanas,2020-03-23 12:27:00.849038,4.0,Ismael Goncalves,0,0,https://www.google.com/maps/contrib/111209186867554984233?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzOGFlM0FnEAEaFk10SzBaN3lHR3Q2c00zNDdqS214VlE,"Buen lugar para ver el magnífico trabajo de las comparsas de Badajoz, tanto de sus coloridos trajes como la combinación de imaginación y trabajo manual tanto en los trajes como los sombreros tan trabajados . Quien le gusten las manualidades no pueden perderse esta visita",Hace 2 semanas,2020-03-23 12:27:00.849038,4.0,Maria Ramos Sansinena,0,0,https://www.google.com/maps/contrib/103969754830749495414?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzOFpYNUxnEAEaFnhCTXdmbzFRR2NsenotME1LQU1MV1E,,Hace 2 semanas,2020-03-23 12:27:00.850035,5.0,Juan José Casado Pérez Casado Pérez,1,0,https://www.google.com/maps/contrib/105183136707293064211?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzdXVUMEZ3EAEaFld4TEVHMGd6QXRqR054QUJobHZVa2c,,Hace 3 semanas,2020-03-23 12:27:00.851032,4.0,Antonio Reina,0,0,https://www.google.com/maps/contrib/113311236438978430279?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzcXVtLXRnRRABGhY1VF9IeGxqMUdjUmtVbmZTYTQ2MVdB,,Hace 3 semanas,2020-03-23 12:27:00.852030,5.0,M. Jesus Areste,0,0,https://www.google.com/maps/contrib/118325401147749939946?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzcks3Q0V3EAEaFjJuTmRYS24wT2hOVUZvVHFrYkZTYmc,,Hace 3 semanas,2020-03-23 12:27:00.853027,4.0,Vanda Inês Fidalgo,2,0,https://www.google.com/maps/contrib/100206601599526119735?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzelBtb19BRRABGhZYVElDRDhucWVGd0pMeU83bDZCLVFR,"Un sitio donde debe ir uno, donde se recoge toda la historia del carnaval de Badajoz. Increíble el trabajazo que tienen todos los disfraces.",Hace 3 semanas,2020-03-23 12:27:00.854024,4.0,Antonio M. Ruiz,0,0,https://www.google.com/maps/contrib/116173191527516464049?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzLU9iRldREAEaFk5rN3JGZER2Znl5NHZBbWI5MmxQU2c,,Hace un mes,2020-03-23 12:27:00.855022,5.0,Manolo Peña Garcia,2,0,https://www.google.com/maps/contrib/116946601575689454787?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzMklLakR3EAEaFkpKMWpxeW9wMnVVR2pEOUZHY3pPZEE,Excelente,Hace un mes,2020-03-23 12:27:00.856019,5.0,Pitylosa,8,0,https://www.google.com/maps/contrib/104484478255369456604?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzNkxUazFRRRABGhZRSEdzX3J4SU4yTGdsMnpFVGY1Wmpn,Un sitio para conocer las tradiciones populares de aquí,Hace un mes,2020-03-23 12:27:00.856019,5.0,Lorenzo Gabriel Alvarez Pabón,0,0,https://www.google.com/maps/contrib/117149945975458637381?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzNlBqR2dBRRABGhZZVkZmZk1OUnRMSm1qSjh5T2ZzNWhB,,Hace un mes,2020-03-23 12:27:00.857017,4.0,Nuno Cruz,0,0,https://www.google.com/maps/contrib/108588029322655171033?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzc05HUHB3RRABGhZPcVh6NDdLWEZjX0tZWE1OWnNIV2N3,Espectacular,Hace un mes,2020-03-23 12:27:00.858014,5.0,Antonio Arrastio,0,0,https://www.google.com/maps/contrib/107013883190077719650?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzaDZXTVNREAEaFlVFbWZWd29CM2xnajZrSW1XZ0tQblE,,Hace un mes,2020-03-23 12:27:00.860009,5.0,María José Soria,0,0,https://www.google.com/maps/contrib/110104941771823357472?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzeV9LSW5BRRABGhZhbktzS3pEbU5ISGlyVzRfM3ZCa3dn,,Hace un mes,2020-03-23 12:27:00.861006,5.0,Marie Beaujon,0,0,https://www.google.com/maps/contrib/104410390599896641285?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzN1luRWZBEAEaFnV6NXYtYWhwSXZCbVZBN0JrbVdPMnc,,Hace un mes,2020-03-23 12:27:00.862003,4.0,Francisco del Pino del Pino,0,0,https://www.google.com/maps/contrib/115600229204661072953?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzeGMtNGFREAEaFkE0Y2hyR0R6UU9WN3Qzb0p6Qmp3cFE,,Hace un mes,2020-03-23 12:27:00.863000,3.0,maite marin sanz,0,0,https://www.google.com/maps/contrib/110283421281638566411?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzc2VpYjR3RRABGhZxVXRlNzJxQlk0UFpMb1RvcEl0VTRn,,Hace un mes,2020-03-23 12:27:00.863998,5.0,FELIPE CAMACHO,2,0,https://www.google.com/maps/contrib/105750951195117654344?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzMGRXeDJRRRABGhZOM05pa0pQUjVRbGFDTXZPZDNXem5n,,Hace un mes,2020-03-23 12:27:00.864995,4.0,Lola Fernandez Soria,2,0,https://www.google.com/maps/contrib/116864490320722619390?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzb2JTSllnEAEaFmxGWlJhZWt0WGw5YmN0ZXI1QnY1OUE,,Hace un mes,2020-03-23 12:27:00.864995,5.0,Cristina Núñez Lagar,0,0,https://www.google.com/maps/contrib/106155902429415299109?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzaHZqX2l3RRABGhY0Q2VjTlZ2SG93QV9CbGNFOGZ5bm9B,,Hace un mes,2020-03-23 12:27:07.115663,5.0,gurutze,75,0,https://www.google.com/maps/contrib/114743985157456338154?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzLXIzU29nRRABGhZRN2dKNjBiVEw1M2xCMXRYOTljUHBR,si visitáis la ciudad es obligatorio ir al museo!!,Hace un mes,2020-03-23 12:27:07.116661,5.0,Eva Garcia,3,0,https://www.google.com/maps/contrib/101397073446852045483?hl=es-ES
