id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNja1lXeHVBRRABGhZEamRTWVNRY3hBQXZkc05la0stZWhB,"Alberga muchísimas exposiciones de gran interés y aun no teniendo el mejor fondo de obras, tiene ""El Sueño con las Musas"" de Eduardo Naranjo y eso le hace ser un Museo de obligada visita",Hace una semana,2020-03-23 12:19:54.589570,4.0,Alberto Valdivia González,1,0,https://www.google.com/maps/contrib/109917896175157144694?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzeXItTzN3RRABGhZwWDRSWVMtSnctWjFWWEl6bmYzTkt3,,Hace 3 semanas,2020-03-23 12:19:54.590567,5.0,Antonio Mendoza Garcia,0,0,https://www.google.com/maps/contrib/106706381847045067937?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzNzZfWlZ3EAEaFlRvM09pRk9Oa0lOQ0hmcmVva0o5QUE,,Hace un mes,2020-03-23 12:19:54.590567,5.0,Francisco Sánchez Guillén,0,0,https://www.google.com/maps/contrib/105342744559071684613?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzaDZielJ3EAEaFjNOWnEzbDdHMG01WU9SQmRGcGstbkE,,Hace un mes,2020-03-23 12:19:54.591564,5.0,María José Soria,0,0,https://www.google.com/maps/contrib/110104941771823357472?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzN2UtYWVBEAEaFnVEYlcxSVZGS2dLQVhIcnJoM20tTXc,,Hace un mes,2020-03-23 12:19:54.592562,5.0,José Ramón González,1,0,https://www.google.com/maps/contrib/107044599799236181165?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzeWZHb3BBRRABGhZKQ016S2F0QVc0X0xrdFEyOFRDdWVn,Antigua cárcel remodelada para albergar el actual museo. Buenas instalaciones y con una situación muy céntrica.,Hace un mes,2020-03-23 12:19:54.593559,4.0,pepe bautista,0,0,https://www.google.com/maps/contrib/116260264008906072228?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzcklIaXB3RRABGhZEUTBOR29TT1ZveFBkUXlnbjNYUy1n,"Aunque sólo fuera para ver cómo han aprovechado el panóptico, ya merece la pena. Gratis y con propuestas variadas, no me lo perdería.",Hace un mes,2020-03-23 12:19:54.594556,5.0,juan gonzalez blasco,6,0,https://www.google.com/maps/contrib/100819838826444428227?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzbFB5QWh3RRABGhYxVXJLR1k2ZlBfYlBuZGNNTFd6b0ZB,"Suele tener exposiciones muy interesantes, y el lugar antiguamente era una carcel de mujeres, eso le da aún más ambiente",Hace 2 meses,2020-03-23 12:19:54.595554,5.0,Sergi Jaramillo Ruiz,0,0,https://www.google.com/maps/contrib/104861818737660852893?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzeEpfNk1nEAEaFlExMVh2Y01iOEZQUGVBQ3MtTDBnUkE,,Hace 2 meses,2020-03-23 12:19:54.596551,5.0,Abel Piriz Brito,8,0,https://www.google.com/maps/contrib/101760603531522766577?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzd0sybHhBRRABGhY3NXYyeG5oU3FTelg0ZU83VmJZb2J3,,Hace 2 meses,2020-03-23 12:19:54.597549,4.0,Librado Martinez Collado,1,0,https://www.google.com/maps/contrib/117940353485919936669?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNNDlIMUxREAEaFm8ybHZsbHloWk5UX2I5dEdtOTJNYVE,,Hace 2 meses,2020-03-23 12:19:54.598545,3.0,Natalia Sevilla,0,0,https://www.google.com/maps/contrib/101001209601329155523?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNN2M2UmRBEAEaFmJlUFR3cmtVRElGS0szMGVIRENPWVE,,Hace 2 meses,2020-03-23 12:19:54.598545,5.0,Marta Farreny Moron,21,0,https://www.google.com/maps/contrib/113609909279426122130?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNMGFXc1FREAEaFkJ2Wlozelp1ZjFMT21fZVdrRXhPRkE,,Hace 2 meses,2020-03-23 12:19:54.599543,5.0,Paula I,0,0,https://www.google.com/maps/contrib/118012900062642639523?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNNFp5eE1REAEaFnRRcHFac3lGeGdDSEJlQ002QW5ZOWc,,Hace 2 meses,2020-03-23 12:19:54.600540,5.0,Santiago García,0,0,https://www.google.com/maps/contrib/101753814188002095453?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNb2FMUlRREAEaFmNtWjYxMXk0VGQwR01US0VVREg4b0E,,Hace 2 meses,2020-03-23 12:19:54.601537,5.0,Alba Caro Bravo,14,0,https://www.google.com/maps/contrib/107485057887754630028?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNa3ZQZnN3RRABGhZnRFFxU3l6NzlPOHd5VzA0RG8zZExB,"Falta cuidado en el exterior, pero dentro es bueno",Hace 2 meses,2020-03-23 12:19:54.602535,3.0,Daideas 21,0,0,https://www.google.com/maps/contrib/108777827415858009860?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNbE9mMUpnEAEaFnNvc2xhVEZ5aGFyWWplcmxpQ0tLQVE,Muy interesante.,Hace 3 meses,2020-03-23 12:19:54.603532,5.0,javi suarez,20,0,https://www.google.com/maps/contrib/117924570934752540980?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNaE5IcFdREAEaFnVDSTVNWDlTbWpnb2xFN3JNNUZJdHc,El guardia es un impresentable cada vez que entro con la bici nos amenaza con la porra sin haber nada,Hace 3 meses,2020-03-23 12:19:54.604529,1.0,Montyfran,0,0,https://www.google.com/maps/contrib/100553995015960130564?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNMmEtZTJ3RRABGhY5S2RHRkZ4bTJDeFQ0M052cjIwWE5n,,Hace 3 meses,2020-03-23 12:19:54.604529,4.0,Inguz KAPPI,0,0,https://www.google.com/maps/contrib/104329276493970742543?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNNd2FhQ2h3RRABGhZLeWNiZHlzenUxeFU0aDVwbm5tMDhn,,Hace 4 meses,2020-03-23 12:19:54.605527,5.0,Ana Isabel Solís,0,0,https://www.google.com/maps/contrib/115346932220487992962?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNNcnB5Y1pBEAEaFmk4MG5yT2lOeXl4Z3FiNk1KbnM4TlE,,Hace 4 meses,2020-03-23 12:20:00.942157,5.0,José Héctor Parreño González,0,0,https://www.google.com/maps/contrib/113795030385950950814?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUQwZzlQNkVREAEaFjFhMU12THJqSy1Nd0lDbXUxMmE2MHc,(Traducido por Google) Incluso entrada gratuita  (Original) A voire entrée gratuite,Hace 4 meses,2020-03-23 12:20:00.943156,4.0,thierry bertrand,0,0,https://www.google.com/maps/contrib/117585077797721119995?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUQwZ2FMRFFREAEaFnJ2SEpnZXYxV2pWQW41QUQ2RzFCeEE,,Hace 4 meses,2020-03-23 12:20:00.944158,3.0,Lidiav Valverde,29,0,https://www.google.com/maps/contrib/101078985379668741326?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUQwZ1pESmxBRRABGhZ4ZWJKUERyT2FNdDFyNlhlcFktNXFR,,Hace 4 meses,2020-03-23 12:20:00.945150,5.0,David Matías,0,0,https://www.google.com/maps/contrib/115332114593636149217?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUQwcHNILThBRRABGhYwQS1HUFVaVXRvNGR0VFQ3MjVlendB,"Es extraordinario una cárcel convertida en museo, aunque hay pocas obras de renombre hay obras de artistas nuevos y es interesante ver nuevos artistas y que se aumenten las obras de otros.",Hace 4 meses,2020-03-23 12:20:00.946127,5.0,julian apellaniz caravaca,0,0,https://www.google.com/maps/contrib/105176385780483614539?hl=es-ES
