id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURzMWVmdEF3EAEaFldDYzdINVRQb3lUYzNobjdGeUdCaUE,,Hace una semana,2020-03-23 12:23:29.500042,5.0,MARIA ADELAIDA NOVILLO ANTUNEZ,0,0,https://www.google.com/maps/contrib/111093799069657559972?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzNXByQjB3RRABGhZJZlpjTFFYbTZNRzVpZ00xVzlqZEtB,Estupendo,Hace 2 semanas,2020-03-23 12:23:29.500042,5.0,Marina Blanco,26,0,https://www.google.com/maps/contrib/103402339072418207863?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzeGN2Y2pnRRABGhZLR1g3NmY5T3ZOdlJVaXZPRlg1S1Vn,,Hace un mes,2020-03-23 12:23:29.501040,5.0,Rosa Herrera,11,0,https://www.google.com/maps/contrib/102850410250984824763?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzeUt5WGlRRRABGhYtNElTQlZ6bDFZODEza1dvNVBxZzh3,,Hace 2 meses,2020-03-23 12:23:29.503035,4.0,JUAN MORENO,16,0,https://www.google.com/maps/contrib/115024617261646919279?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNXzZYcGpBRRABGhZIZVBreG5BcGxhajNLRDN5VDcxM1p3,Me gustan los museos en general,Hace 2 meses,2020-03-23 12:23:29.504031,5.0,Guillermo Rebollo,0,0,https://www.google.com/maps/contrib/104566045811815275181?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNNmZ2UjN3RRABGhZ2anJlbHB1TWt5bmNxaGRrSU1HeUh3,"La tradición de visitar cada año por Navidad la exposición de diaoramas con temática belenistica y el Belen Monumental del Museo Luis de Morales es algo obligatorio en nuestra casa. Además el guarda de la puerta es súper amable y nos da información sobre horarios, concursos...etc. Hemos ido alguna otra vez a otra exposiciones y pues merece la pena tener algo así en la ciudad.",Hace 2 meses,2020-03-23 12:23:29.505029,4.0,Pablo Melendez Delgado,0,0,https://www.google.com/maps/contrib/109464402766284623724?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNNmYtSU13EAEaFk9URnV5ZTE5WGRXMEtJSTdIRUhWNmc,,Hace 2 meses,2020-03-23 12:23:29.506026,5.0,JOSE MANUEL BLANCO,7,0,https://www.google.com/maps/contrib/108551834196239383525?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNcVlDNUF3EAEaFkh4MW1ZWHZ6bndjVlF2SDE1TmVGREE,(Traducido por Google) Muy asequible ...  (Original) Muito acessível...,Hace 2 meses,2020-03-23 12:23:29.506026,5.0,Paula Daiane,0,0,https://www.google.com/maps/contrib/116254022900743199168?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNdnVEcU5BEAEaFkh4LTZQMnRMLTYyV3BScFJXTnRtUWc,"El estilo no me gusta mucho por su entorno, pero dentro muestra muy bien nuestra ciudad",Hace 2 meses,2020-03-23 12:23:29.507024,3.0,Jose Manuel Parra Gil,0,0,https://www.google.com/maps/contrib/110429803623027542850?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNNUxpaFR3EAEaFlh6UGlhSE9McHp5MnpKX0dlWlE4bkE,,Hace 3 meses,2020-03-23 12:23:29.508021,5.0,Estefania Berjano,0,0,https://www.google.com/maps/contrib/103495485833109751575?hl=es-ES
