id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNjalpfX3V3RRABGhYzMWFSeEx4YkMyTkRyYlBCbUNkNkVR,,hace 3 días,2020-03-23 11:44:29.386663,4.0,Daniel Bravo,2,0,https://www.google.com/maps/contrib/109136877329608927531?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjalluckhnEAEaFjA4Mlp5b0lSUzVoR3pJalF5U2tMREE,"Arquitectura militar de gran astucia, el lugar es fantástico.",hace 3 días,2020-03-23 11:44:29.387660,4.0,Francisco Sánchez González Sánchez,3765,0,https://www.google.com/maps/contrib/111954890370354918146?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjdFlXV21BRRABGhZNNGZGWGFJb3F4NlMyVFphYllSYW13,,hace 4 días,2020-03-23 11:44:29.389660,5.0,Cristina Hoyos,0,0,https://www.google.com/maps/contrib/106629727934290944273?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjNWJUZ1BREAEaFl90MndBOWxSUTdpbkNBX2p4cC1tYmc,Muy bonito paraje.,hace 5 días,2020-03-23 11:44:29.390668,5.0,Juan Jimenez,14,0,https://www.google.com/maps/contrib/115565785753594187910?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjcGJEMlB3EAEaFkR3Nldyblk2WHdsanRhMU43ejNaUVE,"Es bonita pero para verla una vez, no me pareció un motivo de peso para ir a ver Badajoz.",hace 6 días,2020-03-23 11:44:29.391649,3.0,Mario Rodriguez,0,0,https://www.google.com/maps/contrib/107970555812009055232?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjaGNmNk9REAEaFmlZckZXU3ZHODl4T3lFM1JBYmdyVWc,,hace 6 días,2020-03-23 11:44:29.392646,5.0,Juan Herruzo,0,0,https://www.google.com/maps/contrib/101823673940086530676?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjaFpPSVpBEAEaFjMwUWtyUjRnZ1F4UjlmV2VpSEhyMmc,(Traducido por Google) Actualmente se está restaurando un sitio del siglo primero. Muy interesante  (Original) Um local do século I sendo restaurado no momento. Muito interessante,hace 6 días,2020-03-23 11:44:29.393644,4.0,Cristina Brito,0,0,https://www.google.com/maps/contrib/104131716436704144001?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjMmJMT2RnEAEaFmhQUzZEVnMwTEYtbVlkeDQycUE0UlE,"(Traducido por Google) España es una atracción turística y un sitio histórico. Este lugar parece ser una ciudad que debes visitar al menos una vez ...  (Original) 스페인 곳곳이 관광명소고,역사적 유적지이지만 이곳도 한번쯤은 들러야하는 도시같네요..",Hace una semana,2020-03-23 11:44:29.393644,5.0,김민경,11,0,https://www.google.com/maps/contrib/114877007538930670490?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjeVl2VV9BRRABGhZtNnNXbDNWMzNtYlBZRGFuNHhpMW9B,,Hace una semana,2020-03-23 11:44:29.394641,4.0,A J,0,0,https://www.google.com/maps/contrib/109801873558271677735?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjaWRIMUNnEAEaFndBZzFIb01IXzFrdVRXNGVYWWFVMWc,Muy bonito,Hace una semana,2020-03-23 11:44:29.395638,5.0,Pedro Ribeiro,0,0,https://www.google.com/maps/contrib/109724942747988552106?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjNGJhSkhREAEaFlp3bHByVmJobF84UEx6TG1sOHpuZFE,,Hace una semana,2020-03-23 11:44:29.396635,5.0,Enrique Suarez,0,0,https://www.google.com/maps/contrib/114965200182304104425?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjb3JXVGJBEAEaFnEzeVR3aGMzTlBUUi10amY3RXNKcGc,Lugar emblemático en la historia de Badajoz. Muy bien conservado.,Hace una semana,2020-03-23 11:44:29.397633,4.0,Pier Santos,0,0,https://www.google.com/maps/contrib/109724116729704626145?hl=es-ES
