id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNjbGRUeTdnRRABGhZNMDRoX2NXZXplNTJQUnphSjNxVG9R,Naturaleza.,hace 5 días,2020-03-23 12:39:14.373639,5.0,Antuan silvestre Sila,39,0,https://www.google.com/maps/contrib/113462115192891430475?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjeGZlX1B3EAEaFkNraWlWSWphQkxiaDJ1X2NSYUtacXc,Muy bien el parque castelar para estar un ratejo con los niño@s con los patos,hace 6 días,2020-03-23 12:39:14.374637,5.0,Joaquin Diaz,0,0,https://www.google.com/maps/contrib/105735855721436820986?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjbVo3QTFnRRABGhZaUGIwdFVhUENvc2JoVGRudDlfLS13,,Hace una semana,2020-03-23 12:39:14.375634,4.0,Fernando Montero Milanés,4,0,https://www.google.com/maps/contrib/105082996132639018997?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjb2RUYlZREAEaFl9RUi1fTzgyMTJ0dnhWQy00T3pnTnc,,Hace una semana,2020-03-23 12:39:14.376631,5.0,Eusebio Mora,2,0,https://www.google.com/maps/contrib/118151974210506376581?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjd2JxYzlnRRABGhZoU3Z3b0lRTVd0bXFsUThFTVhsVkFB,,Hace una semana,2020-03-23 12:39:14.376631,5.0,Felipe Bernal,0,0,https://www.google.com/maps/contrib/106089335384330886899?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjdXJLVk13EAEaFlhYSkZ4bmMzQ2xNSzZTX3dFajFPRUE,Bueno para pasar el rato con los niños y dar de comer a los patos.,Hace una semana,2020-03-23 12:39:14.377629,3.0,Atila,0,0,https://www.google.com/maps/contrib/102221113042272956912?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjbVA3UVJnEAEaFkdJTEZQZ3gtZHJsM2VuSWUzSG9QeWc,,Hace una semana,2020-03-23 12:39:14.378626,4.0,José Ramón González,1,0,https://www.google.com/maps/contrib/107044599799236181165?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjaUxDaUtBEAEaFkVPWWdYMGVYZnE2aWhQdVlmLXRxUmc,,Hace una semana,2020-03-23 12:39:14.379623,3.0,Jorge Ramalho,0,0,https://www.google.com/maps/contrib/113219571353805731933?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjOElIel9nRRABGhZjMG91ZGZTYVE2SXZEU0Z5S3dJUVZ3,,Hace una semana,2020-03-23 12:39:14.380620,5.0,francisco gutierrez bejarano,2,0,https://www.google.com/maps/contrib/117173271731381738236?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjc0xMVk13EAEaFndWbUFfNjhHejZmWjhwdG1nZjBYd3c,,Hace una semana,2020-03-23 12:39:14.381619,5.0,Luisa Romero Andrades,2,0,https://www.google.com/maps/contrib/100731583513272164344?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzMmY2WXNBRRABGhZVb0FsMXV4SUFMV2I2REIyaERzSlB3,Es recreativo,Hace 2 semanas,2020-03-23 12:39:14.382615,3.0,Zuílin Lao,11,0,https://www.google.com/maps/contrib/100535942106194853922?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzMmJxaEpnEAEaFm5EY3YwSEdfYkUxQ3FFX3dxTUdsM2c,,Hace 2 semanas,2020-03-23 12:39:14.383613,5.0,Ana Belén Álvarez Quintero,0,0,https://www.google.com/maps/contrib/106339610942170980057?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzbWYybFh3EAEaFlFsMEo3LXR1YVFSbXk4b3lxQXdNTUE,,Hace 2 semanas,2020-03-23 12:39:14.384610,5.0,Дмитрий Б,0,0,https://www.google.com/maps/contrib/111923486515141229898?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzbWZhbmpBRRABGhZEa2JTZGFMTFBqQlVRZ0lIVTl0dGJR,,Hace 2 semanas,2020-03-23 12:39:14.385607,5.0,Daniel R,0,0,https://www.google.com/maps/contrib/112523330713579973931?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNmV2cVlBEAEaFkNEMFhSMjNNTUxwOENPMy1aWXgwYXc,,Hace 2 semanas,2020-03-23 12:39:14.386604,4.0,JAVIER CID,0,0,https://www.google.com/maps/contrib/100191330419220526895?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzaWNhdUxBEAEaFm12aEJmdTFHU1hLTnhEZlBzQjEyNmc,,Hace 2 semanas,2020-03-23 12:39:14.386604,4.0,Carmen Barreto,4,0,https://www.google.com/maps/contrib/117195242951197322705?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzOGFQaTZBRRABGhZOSHRlUVZWdVpMVnhYWE1NUnpCa2Nn,,Hace 2 semanas,2020-03-23 12:39:14.387602,5.0,Inmaculada Villarín,0,0,https://www.google.com/maps/contrib/110917244933093791975?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzOGZqUWRnEAEaFnlLeE0tU25ZMVdiS1RaR21vOTdXWUE,,Hace 2 semanas,2020-03-23 12:39:14.388599,3.0,Jorge Porto,25,0,https://www.google.com/maps/contrib/114227820230542939292?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNZdGJPa3FnRRABGhY3NE1DQ1BKNjFnYXpVVEs0N3NqSGN3,Es muy bonito pero esta muy sucio,Hace 2 semanas,2020-03-23 12:39:14.389596,5.0,Manuela Gomez,5,0,https://www.google.com/maps/contrib/108373135306908478341?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzc2VEQUxBEAEaFmNoRmJCVFJWMlF0WjdmWkhrWFh3Mmc,,Hace 2 semanas,2020-03-23 12:39:14.390595,5.0,Carmen Suarez,0,0,https://www.google.com/maps/contrib/103592821413447195134?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzMGREd2hBRRABGhZESXU4ODRqVk9TTmpKcTl1Uk5PT2RB,,Hace 2 semanas,2020-03-23 12:39:20.678039,5.0,Marcos Della,7,0,https://www.google.com/maps/contrib/100408542350071792266?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURza1lDaUV3EAEaFjBnakRfVFgzUlFRUUwxM3BFbDdEbVE,,Hace 2 semanas,2020-03-23 12:39:20.679037,4.0,Gabie Souza,1,0,https://www.google.com/maps/contrib/114355578095807024394?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNGY2dUlBEAEaFmlNYkFHV28yak9ubmRVY0FxY2k2ZWc,,Hace 2 semanas,2020-03-23 12:39:20.680041,3.0,Antonio Manuel Rodriguez López,0,0,https://www.google.com/maps/contrib/111024895543327896072?hl=es-ES
