id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNjaWNHTkxnEAEaFm1rcmttbGprZlZicHZpbFhGMWQ0QVE,,Hace una semana,2020-03-23 11:48:02.021687,5.0,llanos y pedro,1,0,https://www.google.com/maps/contrib/106972715203994271209?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjcXNIQXhBRRABGhZqZWVyckNsTndiOVktOWlNcDlreTBB,,Hace una semana,2020-03-23 11:48:02.022685,5.0,Pedro Ribeiro,0,0,https://www.google.com/maps/contrib/113613352112989805101?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjaVBEOFhREAEaFnVLa3RiM3NRZzJKaGZsbWJ6a1JlOEE,,Hace una semana,2020-03-23 11:48:02.023702,5.0,Diego Delgado Ayuso,1,0,https://www.google.com/maps/contrib/116471685447956677430?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNjc002dDZ3RRABGhZWSDZGSVlJRHQ3UGNuazdfTVVmcEN3,,Hace una semana,2020-03-23 11:48:02.024699,4.0,Ilhan Blanco,0,0,https://www.google.com/maps/contrib/112737689142604966230?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzdC1PVWJREAEaFkZmWExnRFF0WmV0eXRmNGR3eFpISGc,,Hace una semana,2020-03-23 11:48:02.025704,5.0,Fabio de Jesús Henao estrada,2,0,https://www.google.com/maps/contrib/108107830890230406117?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzdzhmOXN3RRABGhZzOTE1MnAyTktDQUF6RjhTY2JRSGVR,Increíble espacio,Hace una semana,2020-03-23 11:48:02.026675,5.0,antonio arias gomez,0,0,https://www.google.com/maps/contrib/117805027419012580795?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzaGJQN2J3EAEaFnVuUTJSZnVvemhmeU9oRXh1dlR0YWc,"Catedras con el estilo gotico, muy bonito, si quieres entrar es de pago",Hace una semana,2020-03-23 11:48:02.026675,5.0,DonMontecristo4,0,0,https://www.google.com/maps/contrib/112533755532305723350?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzaGNUeUd3EAEaFkZ0a1VSTU5fcVM2Q3pxb0lCR1dleHc,,Hace una semana,2020-03-23 11:48:02.027691,3.0,Luisa Saez,15,0,https://www.google.com/maps/contrib/115129967253685092531?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzLWR2a0dREAEaFm0tc2g1dVNFWTNtdGYtNXpzYjVOeWc,,Hace una semana,2020-03-23 11:48:02.028693,5.0,Francisco Luis L-A G-M,1,0,https://www.google.com/maps/contrib/106606544957239144542?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzLWU2MV9nRRABGhZmcU1WNDZ5dm5LRzVCS0NBeU02OW93,"Buena atención, se come bien y muy limpio!",Hace una semana,2020-03-23 11:48:02.029685,4.0,Ana Belen Castaño Jaen,4,0,https://www.google.com/maps/contrib/106253734321484013538?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzLWE2T3hnRRABGhZmclBWeFA5eGg0ZXF5ZF84SVE2UFRB,,Hace una semana,2020-03-23 11:48:02.030691,5.0,Jose Antonio Portilla Ruiz,6,0,https://www.google.com/maps/contrib/101408127663623444012?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzMmE3NkRREAEaFjFibk5icW92WVZHZHdobk9uOFhNR2c,,Hace 2 semanas,2020-03-23 11:48:02.031685,4.0,Naiara Rendón Muñoz,0,0,https://www.google.com/maps/contrib/100404853676264711324?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzbWVtQmt3RRABGhZLeGtwRGZyb01IVkhDTXVDV2RuT2ZB,Santuario con una arquitectura que no te dejará indiferente,Hace 2 semanas,2020-03-23 11:48:02.032683,4.0,Jose Montañez,0,0,https://www.google.com/maps/contrib/109878213749662511873?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzbWZEOG13RRABGhZubEF4YjFkbXJkaDZOa0RybVNLcEVR,,Hace 2 semanas,2020-03-23 11:48:02.033677,4.0,Ricardo Sevilla,0,0,https://www.google.com/maps/contrib/107465969464565253583?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzOGY2OUpnEAEaFnRWXzV4dVExSm1VbHdtTnZqSjNaUWc,,Hace 2 semanas,2020-03-23 11:48:02.034678,5.0,Alicia Suarez,0,0,https://www.google.com/maps/contrib/117215085844761568141?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzc2RPMUJBEAEaFktpUlVuUlZvMnFtV2x3OUpDeWc3cUE,,Hace 2 semanas,2020-03-23 11:48:02.034678,5.0,Jaro Noriega,0,0,https://www.google.com/maps/contrib/101942018600681246449?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzMGRxblpREAEaFkZ2YUtyZldwNGlobFBkbU04WlNxSnc,,Hace 2 semanas,2020-03-23 11:48:02.035674,4.0,Rui Telmo Belo,0,0,https://www.google.com/maps/contrib/107032969405125782937?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzMGZqZ3hRRRABGhZJZFdCdGtMUVdtWWhja0RSVEZKTEZB,Bonita para amantes del arte,Hace 2 semanas,2020-03-23 11:48:02.036676,4.0,rafael doña narvaez,0,0,https://www.google.com/maps/contrib/115431187926671722417?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzX3IycmF3EAEaFlJQbHRWU2hseHk3NG5TM0dfZkJNaEE,Estaba cerrada no pude verla por dentro,Hace 2 semanas,2020-03-23 11:48:02.037669,3.0,Jorge Nieto,8,0,https://www.google.com/maps/contrib/114823522326065202156?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzX282Ykp3EAEaFkYtQ2NmdXVmYjNWQUxMTnNkNk9VbHc,,Hace 2 semanas,2020-03-23 11:48:02.038669,5.0,Jesus Lopez,5,0,https://www.google.com/maps/contrib/114352720530736407913?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzdnRmbHdnRRABGhZnaEQzc2NXVXVlTXgwVzAyaHNCTXVR,,Hace 2 semanas,2020-03-23 11:48:08.322359,5.0,Raul Gomez,0,0,https://www.google.com/maps/contrib/104581264664254851591?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzM3ZMQmJBEAEaFlVQaTZoV0JkNEFSYWFDRVFpWmY3RFE,,Hace 2 semanas,2020-03-23 11:48:08.322359,4.0,Clarisa Herreras Diez,0,0,https://www.google.com/maps/contrib/109139873024568861718?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzcnNpRkxBEAEaFnA0ZXZITFJrTUlpaVNhMUctMk9Wb0E,Muy bien,Hace 2 semanas,2020-03-23 11:48:08.323356,4.0,Hasoon AL Shamy,0,0,https://www.google.com/maps/contrib/103684439799099407561?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzam95aC1BRRABGhZHTHp0aFdqRVB6RWsyWTA1SmZlOUJn,"Productos de calidad a buenos precios. Además de eso tienen un trato a la clientela muy bueno. Hace poco fui a por algo de buen jamón, estaba hasta arriba de gente y aún así no perdieron la sonrisa al atender a todas las personas.",Hace 2 semanas,2020-03-23 11:48:08.324353,5.0,Mari Campos Paniagua,0,0,https://www.google.com/maps/contrib/114019617691798711394?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzanBEY3lnRRABGhZLcWtxU2NSamQ4RE14cDh5NmNEY3J3,,Hace 2 semanas,2020-03-23 11:48:08.325350,5.0,MARISA RODRIGUEZ CANO,5,0,https://www.google.com/maps/contrib/111934719505666201138?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzOXZQajV3RRABGhZYRTRrYksxRzhYdlJ4TG9uY2tNS05R,(Traducido por Google) Vale la pena una visita  (Original) Vale a pena visitar,Hace 2 semanas,2020-03-23 11:48:08.327360,4.0,Teresa Duarte,0,0,https://www.google.com/maps/contrib/117974834120395988276?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzOXIyRnl3RRABGhYwQWtibmN0eTNuaV9xazVqWk1mTUp3,Muy bonita y profesionales encantadores que te lo explican todo.,Hace 2 semanas,2020-03-23 11:48:08.328396,4.0,lucia gomez isidro,0,0,https://www.google.com/maps/contrib/116788669087091525023?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzOXF5QVFREAEaFkhUU0Y4d0haRnFsLXRWWGNXZElmNXc,,Hace 2 semanas,2020-03-23 11:48:08.329361,5.0,Daniel Rodriguez,2,0,https://www.google.com/maps/contrib/113473722327239910335?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzdHJpbU1nEAEaFnBnRlFGLUhtOW5LX2lQWFZRdHc0aEE,,Hace 2 semanas,2020-03-23 11:48:08.330357,5.0,Juan J. Cifuentes,0,0,https://www.google.com/maps/contrib/105626125269416737516?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzbG9PbW13RRABGhZVSkFLTGk4ZTJiajlnWi1GWlFXRVF3,,Hace 2 semanas,2020-03-23 11:48:08.330357,4.0,Paula Maria Esteves,3,0,https://www.google.com/maps/contrib/102526169033537996148?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzNXNLMXdBRRABGhZVanFFeXZDZHREMEg0RGNXeUdaZmRB,,Hace 2 semanas,2020-03-23 11:48:14.631995,5.0,Oscar Leon,0,0,https://www.google.com/maps/contrib/101269231901184460296?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzcG9QU19BRRABGhZKVWQwQXdWYTFOSDhTSG1uODV6LWh3,,Hace 2 semanas,2020-03-23 11:48:14.632993,5.0,Catia Santos,1,0,https://www.google.com/maps/contrib/115082632312056533109?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzdXJYb1p3EAEaFnFjc1NpelpTZjBqMEQzRW5fYnNxNmc,,Hace 3 semanas,2020-03-23 11:48:14.633990,5.0,Maria Jose del Campo Fernandez,0,0,https://www.google.com/maps/contrib/109321117218250924801?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzcXEtTlZREAEaFjQwdExLeFk2YmlscXRSSm05bVpnS2c,Por fuera es secilla. Es una iglesia fortaleza.,Hace 3 semanas,2020-03-23 11:48:14.634987,4.0,JOSE FELIX SANTAMARIA JIMENEZ,0,0,https://www.google.com/maps/contrib/101824898034288027938?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzaXR1S3R3RRABGhZWMmZsRnRVaWRrcDREc0Y4RE16T2ZR,,Hace 3 semanas,2020-03-23 11:48:14.634987,3.0,Merche Escudero,1,0,https://www.google.com/maps/contrib/102300344453531622738?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzMHVfa1B3EAEaFlR6ZkFGSDFyNXZRTU1RZFJZb0czNUE,Plaza preciosa de Badajoz,Hace 3 semanas,2020-03-23 11:48:14.635985,5.0,Lara Calero,0,0,https://www.google.com/maps/contrib/102771917490285835929?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzb3RHdXRnRRABGhZjWnpUc1hpVFRGSWltWDg2TTRlRnJR,,Hace 3 semanas,2020-03-23 11:48:14.636982,5.0,Mª Jesús Gonzalez Hernández,18,0,https://www.google.com/maps/contrib/113538498981969556343?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzck9LbmpnRRABGhY0X0dyMlMyTF9EMDlRMHUwYlZqUk5R,Me gustó por todo,Hace 3 semanas,2020-03-23 11:48:14.637979,4.0,Juani Vela,12,0,https://www.google.com/maps/contrib/105375117281926937448?hl=es-ES
