placename,place_id;id_review,caption,timestamp,rati,rating,username,n_photo_user,url_user;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;"ChdDSUhNMG9nS0VJQ0FnSUNja1lXeHVBRRABGhZEamRTWVNRY3hBQXZkc05la0stZWhB,""Alberga muchísimas exposiciones de gran interés y aun no teniendo el mejor fondo de obras, tiene """"El Sueño con las Musas"""" de Eduardo Naranjo y eso le hace ser un Museo de obligada visita"",Hace una semana,2020-03-23 12:15:15.142345,4.0,Alberto Valdivia González,1,0,https://www.google.com/maps/contrib/109917896175157144694?hl=es-ES";
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChdDSUhNMG9nS0VJQ0FnSURzeXItTzN3RRABGhZwWDRSWVMtSnctWjFWWEl6bmYzTkt3,,Hace 3 semanas,2020-03-23 12:15:15.143346,5.0,Antonio Mendoza Garcia,0,0,https://www.google.com/maps/contrib/106706381847045067937?hl=es-ES;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChZDSUhNMG9nS0VJQ0FnSUNzNzZfWlZ3EAEaFlRvM09pRk9Oa0lOQ0hmcmVva0o5QUE,,Hace un mes,2020-03-23 12:15:15.144339,5.0,Francisco Sánchez Guillén,0,0,https://www.google.com/maps/contrib/105342744559071684613?hl=es-ES;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChZDSUhNMG9nS0VJQ0FnSUNzaDZielJ3EAEaFjNOWnEzbDdHMG01WU9SQmRGcGstbkE,,Hace un mes,2020-03-23 12:15:15.145337,5.0,María José Soria,0,0,https://www.google.com/maps/contrib/110104941771823357472?hl=es-ES;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChZDSUhNMG9nS0VJQ0FnSUNzN2UtYWVBEAEaFnVEYlcxSVZGS2dLQVhIcnJoM20tTXc,,Hace un mes,2020-03-23 12:15:15.146334,5.0,José Ramón González,1,0,https://www.google.com/maps/contrib/107044599799236181165?hl=es-ES;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChdDSUhNMG9nS0VJQ0FnSUNzeWZHb3BBRRABGhZKQ016S2F0QVc0X0xrdFEyOFRDdWVn,Antigua cárcel remodelada para albergar el actual museo. Buenas instalaciones y con una situación muy céntrica.,Hace un mes,2020-03-23 12:15:15.147331,4.0,pepe bautista,0,0,https://www.google.com/maps/contrib/116260264008906072228?hl=es-ES;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;"ChdDSUhNMG9nS0VJQ0FnSUNzcklIaXB3RRABGhZEUTBOR29TT1ZveFBkUXlnbjNYUy1n,""Aunque sólo fuera para ver cómo han aprovechado el panóptico, ya merece la pena. Gratis y con propuestas variadas, no me lo perdería."",Hace un mes,2020-03-23 12:15:15.148329,5.0,juan gonzalez blasco,6,0,https://www.google.com/maps/contrib/100819838826444428227?hl=es-ES";
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;"ChdDSUhNMG9nS0VJQ0FnSUNzbFB5QWh3RRABGhYxVXJLR1k2ZlBfYlBuZGNNTFd6b0ZB,""Suele tener exposiciones muy interesantes, y el lugar antiguamente era una carcel de mujeres, eso le da aún más ambiente"",Hace 2 meses,2020-03-23 12:15:15.148329,5.0,Sergi Jaramillo Ruiz,0,0,https://www.google.com/maps/contrib/104861818737660852893?hl=es-ES";
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChZDSUhNMG9nS0VJQ0FnSUNzeEpfNk1nEAEaFlExMVh2Y01iOEZQUGVBQ3MtTDBnUkE,,Hace 2 meses,2020-03-23 12:15:15.150324,5.0,Abel Piriz Brito,8,0,https://www.google.com/maps/contrib/101760603531522766577?hl=es-ES;
Edificio La Giralda,ChIJcRUJ5zbkFg0RM15OB02yIXs;ChdDSUhNMG9nS0VJQ0FnSUNzd0sybHhBRRABGhY3NXYyeG5oU3FTelg0ZU83VmJZb2J3,,Hace 2 meses,2020-03-23 12:15:15.151322,4.0,Librado Martinez Collado,1,0,https://www.google.com/maps/contrib/117940353485919936669?hl=es-ES;
