id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNjaGNTZGJREAEaFnM1LWFXWEQ5bUZLcWdaMFNlaG1wQ3c,Es un lugar muy tranquilo y muy bonito donde puedes conectar con la naturaleza,hace 6 días,2020-03-23 13:12:40.851243,5.0,Fefe Gomez,8,0,https://www.google.com/maps/contrib/104934443114884722018?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNjaWQ2NVBnEAEaFm1UQ1JmcWlvaWc4T1BCLVUyUjhFRVE,,Hace una semana,2020-03-23 13:12:40.852241,4.0,fco morales,0,0,https://www.google.com/maps/contrib/104663185200157589789?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzbVoyNFl3EAEaFnNNbTljUlAxdWxPZVAwNVhmT3p0blE,,Hace 2 semanas,2020-03-23 13:12:40.853238,3.0,Celeste Armas,4,0,https://www.google.com/maps/contrib/100116283705317438364?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzcWJfZkxREAEaFk5ndWZoREIteXNDeW80MHUycUVnSFE,,Hace 2 semanas,2020-03-23 13:12:40.853238,4.0,Marlon Xavier,1,0,https://www.google.com/maps/contrib/108782641256826826238?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzaWJtR0pBEAEaFlVCUjE2LVpvTTNTQWlzYmRsbzNVNFE,,Hace 2 semanas,2020-03-23 13:12:40.854235,5.0,Maria Jesus Gomez Porras,1,0,https://www.google.com/maps/contrib/101154678780044963050?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzaWRhV19nRRABGhZmU2t5bWJTeDhENDVwVkNMcVQ0bEtR,,Hace 2 semanas,2020-03-23 13:12:40.855233,5.0,Inmaculada Villarín,0,0,https://www.google.com/maps/contrib/110917244933093791975?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzc2NMcnNBRRABGhZtaUdVT2lxMWVvZ2lCNzNZcUtCWTRR,,Hace 2 semanas,2020-03-23 13:12:40.856230,5.0,Pilar Rodríguez Álvarez,0,0,https://www.google.com/maps/contrib/106697754226564411238?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzc2Z5YUtBEAEaFjlSZWxPcXpTT2swakRBUWFKQ254V1E,,Hace 2 semanas,2020-03-23 13:12:40.857227,3.0,Manuel Garcia Marquez,1,0,https://www.google.com/maps/contrib/107346605853641214551?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzNFpPQ25BRRABGhZ1ZmVrTnNqM0E0b01leXVZeTJiOGt3,"Super peligroso para los niños... Los juegos en muy mal estado muy sucios, rotos con picos peligrosos y oxidados y las barandillas de la orilla no dejan de ser peligrosas porque un niño cabe perfectamente entre ellas y se puede caer igual",Hace 2 semanas,2020-03-23 13:12:40.858225,2.0,Erika Castellanos Melgarejo,0,0,https://www.google.com/maps/contrib/102318416300265266701?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzbXVMcDJBRRABGhY1SWwwSXVadU1EOXFIaVhham8xazNn,Un parque muy bonito para pasear,Hace 3 semanas,2020-03-23 13:12:40.859222,5.0,Jenifer Sánchez,3,0,https://www.google.com/maps/contrib/111864450423407557304?hl=es-ES
