placename,place_id;id_review,caption,timestamp,rati,rating,username,n_photo_user,url_user
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChdDSUhNMG9nS0VJQ0FnSURNbFBHcmlBRRABGhZBdnJoNkpsTnNmTVppR0szTVRKOW5R,,Hace 3 meses,2020-03-23 13:38:11.088383,5.0,Jose Luis Tena,1,0,https://www.google.com/maps/contrib/117891823122435853299?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChZDSUhNMG9nS0VJQ0FnSUNNdV91d1Z3EAEaFjNrNnpETFUzQk1FZlBJNlFqWTVtNkE,Árabe 100/100,Hace 3 meses,2020-03-23 13:38:11.089380,5.0,Tato Banito,0,0,https://www.google.com/maps/contrib/105497791557746959055?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChdDSUhNMG9nS0VJQ0FnSUQwcGZlWnBnRRABGhZodl84emk2Qklud3dfcVpuMmxHa0dn,(Traducido por Google) Muy bonito  (Original) Muito bonito,Hace 4 meses,2020-03-23 13:38:11.090378,5.0,Daniela Vicente,0,0,https://www.google.com/maps/contrib/102904139842179209279?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChZDSUhNMG9nS0VJQ0FnSUQwOGR6eWNnEAEaFkRFUUdiWU9qdmRuS2lhSUNMU3UybkE,,Hace 4 meses,2020-03-23 13:38:11.091375,5.0,Jorge Gmm,0,0,https://www.google.com/maps/contrib/106238131856069010922?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChZDSUhNMG9nS0VJQ0FnSUMwMDdXaGZnEAEaFlJqWmNqS3hPYnNkLXB6WDFMeXIxMEE,,Hace 5 meses,2020-03-23 13:38:11.092373,5.0,Jesús Martínez Chamorro,0,0,https://www.google.com/maps/contrib/105840583352929866597?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChZDSUhNMG9nS0VJQ0FnSUMwclllTVNBEAEaFlZoREVJWFZtbm03UF9hNEItcDFlblE,,Hace 5 meses,2020-03-23 13:38:11.093383,4.0,José Mª Palacios,133,0,https://www.google.com/maps/contrib/101773482046893113826?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChZDSUhNMG9nS0VJQ0FnSURVaTQtTU13EAEaFm4tWk1HWnViWWhYQ213N1NacERmWWc,,Hace 6 meses,2020-03-23 13:38:11.094367,4.0,Sheila Lindo Vega,0,0,https://www.google.com/maps/contrib/100933272515612134073?hl=es-ES
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;"ChZDSUhNMG9nS0VJQ0FnSURVdFpQZUFnEAEaFjNLODhlWFZxdGc0X0RrenNJYVVjNnc,""La Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4 es el nombre que recibe una de las puertas de acceso a la Alcazaba de Badajoz. Se encuentra localizada en el flanco occidental de la Alcazaba, entre la plaza Alta y la plaza de San José, encajada entre una torre y el lienzo de muralla del sector oeste. Se encuentra formada por un arco de herradura apuntado, construido con sillares graníticos. A día de hoy la puerta aún conserva las quicialeras de mármol decoradas. Para complicar su acceso, esta puerta tiene una entrada en recodo, lo que les permitía poder realizar una mayor defensa de las tropas situadas en la muralla. Al mismo tiempo, también impedían el acceso rápido de los enemigos."",Hace 6 meses,2020-03-23 13:38:11.095364,5.0,JeRA,0,0,https://www.google.com/maps/contrib/100282215179289957013?hl=es-ES"
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;"ChdDSUhNMG9nS0VJQ0FnSURVeFlmd19nRRABGhYtdTRGd2MzckJzQmtWVU03dzRiNlVB,""Magnífico vestigio de la época antigua de la gran ciudad de Badajoz, correctamente conservado y digno de ser visitado, en el atardecer se obtienen unas vistas maravillosas."",Hace 6 meses,2020-03-23 13:38:11.096361,5.0,pjmmacarro marc,0,0,https://www.google.com/maps/contrib/100342299768384461997?hl=es-ES"
Puerta del Capitel,ChIJoThs0jXkFg0RtOTk9ndV4L4;ChdDSUhNMG9nS0VJQ0FnSURVdEpMTzdRRRABGhYzcnRYcHhPSUJ2ZXNLU2VubUZmU1VB,,Hace 7 meses,2020-03-23 13:38:11.096361,3.0,Rui Miranda,0,0,https://www.google.com/maps/contrib/109753382631041791834?hl=es-ES
